6,0,1,7,6,3,g0L
6,0,1,7,7,0,g0L
6,0,1,7,7,1,g0L
6,0,1,7,7,2,g0f1
6,0,1,7,7,3,g0L
6,0,1,7,8,0,g0L
6,0,1,7,8,1,g0L
6,0,1,7,8,2,g0f1
6,0,1,7,8,3,g0L
6,0,1,7,9,0,g0L
6,0,1,7,9,1,g0L
6,0,1,7,9,2,g0f1
6,0,1,7,9,3,g0L
6,0,1,8,0,0,g0f0
6,0,1,8,0,1,g0f0
6,0,1,8,0,2,g0f0
6,0,1,8,0,3,g0f0
6,0,1,8,1,0,g0h1
6,0,1,8,1,1,g0h1
6,0,1,8,1,2,g0h1
6,0,1,8,1,3,g0h1
6,0,1,8,2,0,g0h1
6,0,1,8,2,1,g0h1
6,0,1,8,2,2,g0f1
6,0,1,8,2,3,g0h0
6,0,1,8,3,0,g0g1
6,0,1,8,3,1,g0f0
6,0,1,8,3,2,g0g1
6,0,1,8,3,3,g0h1
6,0,1,8,4,0,g0g1
6,0,1,8,4,1,g0g1
6,0,1,8,4,2,g0f1
6,0,1,8,4,3,g0L
6,0,1,8,5,0,g0f1
6,0,1,8,5,1,g0f1
6,0,1,8,5,2,g0L
6,0,1,8,5,3,g0g1
6,0,1,8,6,0,g0L
6,0,1,8,6,1,g0L
6,0,1,8,6,2,g0L
6,0,1,8,6,3,g0L
6,0,1,8,7,0,g0L
6,0,1,8,7,1,g0L
6,0,1,8,7,2,g0L
6,0,1,8,7,3,g0L
6,0,1,8,8,0,g0L
6,0,1,8,8,1,g0L
6,0,1,8,8,2,g0L
6,0,1,8,8,3,g0L
6,0,1,8,9,0,g0L
6,0,1,8,9,1,g0L
6,0,1,8,9,2,g0L
6,0,1,8,9,3,g0L
6,0,1,9,0,0,g0f0
6,0,1,9,0,1,g0f0
6,0,1,9,0,2,g0f0
6,0,1,9,0,3,g0f0
6,0,1,9,1,0,g0h1
6,0,1,9,1,1,g0h1
6,0,1,9,1,2,g0h1
6,0,1,9,1,3,g0h1
6,0,1,9,2,0,g0h1
6,0,1,9,2,1,g0h1
6,0,1,9,2,2,g0f1
6,0,1,9,2,3,g0f0
6,0,1,9,3,0,g0L
6,0,1,9,3,1,g0L
6,0,1,9,3,2,g0g1
6,0,1,9,3,3,g0h1
6,0,1,9,4,0,g0L
6,0,1,9,4,1,g0L
6,0,1,9,4,2,g0g1
6,0,1,9,4,3,g0L
6,0,1,9,5,0,g0L
6,0,1,9,5,1,g0L
6,0,1,9,5,2,g0L
6,0,1,9,5,3,g0L
6,0,1,9,6,0,g0L
6,0,1,9,6,1,g0L
6,0,1,9,6,2,g0g1
6,0,1,9,6,3,g0L
6,0,1,9,7,0,g0h1
6,0,1,9,7,1,g0h1
6,0,1,9,7,2,g0L
6,0,1,9,7,3,g0L
6,0,1,9,8,0,g0L
6,0,1,9,8,1,g0L
6,0,1,9,8,2,g0L
6,0,1,9,8,3,g0L
6,0,1,9,9,0,g0L
6,0,1,9,9,1,g0L
6,0,1,9,9,2,g0L
6,0,1,9,9,3,g0L
6,0,2,0,0,0,g0R
6,0,2,0,0,1,g0R
6,0,2,0,0,2,g0R
6,0,2,0,0,3,g0R
6,0,2,0,1,0,g0R
6,0,2,0,1,1,g0f0
6,0,2,0,1,2,g0R
6,0,2,0,1,3,g0R
6,0,2,0,2,0,g0R
6,0,2,0,2,1,g0R
6,0,2,0,2,2,g0R
6,0,2,0,2,3,g0R
6,0,2,0,3,0,g0R
6,0,2,0,3,1,g0f0
6,0,2,0,3,2,g0R
6,0,2,0,3,3,g0R
6,0,2,0,4,0,g0U
6,0,2,0,4,1,g0R
6,0,2,0,4,2,g0R
6,0,2,0,4,3,g0U
6,0,2,0,5,0,g0f1
6,0,2,0,5,1,g0R
6,0,2,0,5,2,g0f1
6,0,2,0,5,3,g0f1
6,0,2,0,6,0,g0U
6,0,2,0,6,1,g0f1
6,0,2,0,6,2,g0U
6,0,2,0,6,3,g0U
6,0,2,0,7,0,g0U
6,0,2,0,7,1,g0U
6,0,2,0,7,2,g0U
6,0,2,0,7,3,g0U
6,0,2,0,8,0,g0U
6,0,2,0,8,1,g0U
6,0,2,0,8,2,g0U
6,0,2,0,8,3,g0U
6,0,2,0,9,0,g0U
6,0,2,0,9,1,g0U
6,0,2,0,9,2,g0U
6,0,2,0,9,3,g0U
6,0,2,1,0,0,g0R
6,0,2,1,0,1,g0R
6,0,2,1,0,2,g0R
6,0,2,1,0,3,g0R
6,0,2,1,1,0,g0R
6,0,2,1,1,1,g0f0
6,0,2,1,1,2,g0R
6,0,2,1,1,3,g0R
6,0,2,1,2,0,g0L
6,0,2,1,2,1,g0R
6,0,2,1,2,2,g0U
6,0,2,1,2,3,g0U
6,0,2,1,3,0,g0R
6,0,2,1,3,1,g0R
6,0,2,1,3,2,g0R
6,0,2,1,3,3,g0R
6,0,2,1,4,0,g0R
6,0,2,1,4,1,g0R
6,0,2,1,4,2,g0f0
6,0,2,1,4,3,g0R
6,0,2,1,5,0,g0f1
6,0,2,1,5,1,g0f0
6,0,2,1,5,2,g0g1
6,0,2,1,5,3,g0f1
6,0,2,1,6,0,g0U
6,0,2,1,6,1,g0f1
6,0,2,1,6,2,g0R
6,0,2,1,6,3,g0U
6,0,2,1,7,0,g0f1
6,0,2,1,7,1,g0U
6,0,2,1,7,2,g0U
6,0,2,1,7,3,g0U
6,0,2,1,8,0,g0U
6,0,2,1,8,1,g0U
6,0,2,1,8,2,g0U
6,0,2,1,8,3,g0U
6,0,2,1,9,0,g0U
6,0,2,1,9,1,g0U
6,0,2,1,9,2,g0U
6,0,2,1,9,3,g0U
6,0,2,2,0,0,g0R
6,0,2,2,0,1,g0R
6,0,2,2,0,2,g0R
6,0,2,2,0,3,g0R
6,0,2,2,1,0,g0R
6,0,2,2,1,1,g0f0
6,0,2,2,1,2,g0R
6,0,2,2,1,3,g0R
6,0,2,2,2,0,g0R
6,0,2,2,2,1,g0R
6,0,2,2,2,2,g0R
6,0,2,2,2,3,g0R
6,0,2,2,3,0,g0R
6,0,2,2,3,1,g0f0
6,0,2,2,3,2,g0R
6,0,2,2,3,3,g0R
6,0,2,2,4,0,g0f0
6,0,2,2,4,1,g0R
6,0,2,2,4,2,g0f1
6,0,2,2,4,3,g0R
6,0,2,2,5,0,g0f1
6,0,2,2,5,1,g0f0
6,0,2,2,5,2,g0U
6,0,2,2,5,3,g0g1
6,0,2,2,6,0,g0U
6,0,2,2,6,1,g0U
6,0,2,2,6,2,g0U
6,0,2,2,6,3,g0U
6,0,2,2,7,0,g0U
6,0,2,2,7,1,g0U
6,0,2,2,7,2,g0U
6,0,2,2,7,3,g0U
6,0,2,2,8,0,g0U
6,0,2,2,8,1,g0U
6,0,2,2,8,2,g0U
6,0,2,2,8,3,g0U
6,0,2,2,9,0,g0U
6,0,2,2,9,1,g0U
6,0,2,2,9,2,g0U
6,0,2,2,9,3,g0U
6,0,2,3,0,0,g0R
6,0,2,3,0,1,g0R
6,0,2,3,0,2,g0R
6,0,2,3,0,3,g0R
6,0,2,3,1,0,g0R
6,0,2,3,1,1,g0f0
6,0,2,3,1,2,g0R
6,0,2,3,1,3,g0R
6,0,2,3,2,0,g0U
6,0,2,3,2,1,g0R
6,0,2,3,2,2,g0U
6,0,2,3,2,3,g0U
6,0,2,3,3,0,g0R
6,0,2,3,3,1,g0f0
6,0,2,3,3,2,g0R
6,0,2,3,3,3,g0R
6,0,2,3,4,0,g0f0
6,0,2,3,4,1,g0f1
6,0,2,3,4,2,g0U
6,0,2,3,4,3,g0f0
6,0,2,3,5,0,g0U
6,0,2,3,5,1,g0U
6,0,2,3,5,2,g0g1
6,0,2,3,5,3,g0U
6,0,2,3,6,0,g0U
6,0,2,3,6,1,g0U
6,0,2,3,6,2,g0U
6,0,2,3,6,3,g0U
6,0,2,3,7,0,g0U
6,0,2,3,7,1,g0U
6,0,2,3,7,2,g0L
6,0,2,3,7,3,g0U
6,0,2,3,8,0,g0U
6,0,2,3,8,1,g0U
6,0,2,3,8,2,g0g1
6,0,2,3,8,3,g0U
6,0,2,3,9,0,g0U
6,0,2,3,9,1,g0U
6,0,2,3,9,2,g0L
6,0,2,3,9,3,g0U
6,0,2,4,0,0,g0R
6,0,2,4,0,1,g0R
6,0,2,4,0,2,g0R
6,0,2,4,0,3,g0R
6,0,2,4,1,0,g0R
6,0,2,4,1,1,g0f0
6,0,2,4,1,2,g0R
6,0,2,4,1,3,g0R
6,0,2,4,2,0,g0R
6,0,2,4,2,1,g0R
6,0,2,4,2,2,g0U
6,0,2,4,2,3,g0R
6,0,2,4,3,0,g0R
6,0,2,4,3,1,g0L
6,0,2,4,3,2,g0U
6,0,2,4,3,3,g0R
6,0,2,4,4,0,g0g1
6,0,2,4,4,1,g0R
6,0,2,4,4,2,g0U
6,0,2,4,4,3,g0R
6,0,2,4,5,0,g0L
6,0,2,4,5,1,g0U
6,0,2,4,5,2,g0U
6,0,2,4,5,3,g0U
6,0,2,4,6,0,g0U
6,0,2,4,6,1,g0R
6,0,2,4,6,2,g0U
6,0,2,4,6,3,g0L
6,0,2,4,7,0,g0U
6,0,2,4,7,1,g0U
6,0,2,4,7,2,g0U
6,0,2,4,7,3,g0U
6,0,2,4,8,0,g0L
6,0,2,4,8,1,g0L
6,0,2,4,8,2,g0U
6,0,2,4,8,3,g0L
6,0,2,4,9,0,g0U
6,0,2,4,9,1,g0U
6,0,2,4,9,2,g0U
6,0,2,4,9,3,g0U
6,0,2,5,0,0,g0f1
6,0,2,5,0,1,g0f1
6,0,2,5,0,2,g0f1
6,0,2,5,0,3,g0f1
6,0,2,5,1,0,g0R
6,0,2,5,1,1,g0h1
6,0,2,5,1,2,g0h0
6,0,2,5,1,3,g0U
6,0,2,5,2,0,g0U
6,0,2,5,2,1,g0R
6,0,2,5,2,2,g0h1
6,0,2,5,2,3,g0U
6,0,2,5,3,0,g0U
6,0,2,5,3,1,g0U
6,0,2,5,3,2,g0h1
6,0,2,5,3,3,g0U
6,0,2,5,4,0,g0U
6,0,2,5,4,1,g0U
6,0,2,5,4,2,g0h1
6,0,2,5,4,3,g0U
6,0,2,5,5,0,g0U
6,0,2,5,5,1,g0U
6,0,2,5,5,2,g0h1
6,0,2,5,5,3,g0U
6,0,2,5,6,0,g0U
6,0,2,5,6,1,g0U
6,0,2,5,6,2,g0h1
6,0,2,5,6,3,g0U
6,0,2,5,7,0,g0U
6,0,2,5,7,1,g0U
6,0,2,5,7,2,g0h1
6,0,2,5,7,3,g0U
6,0,2,5,8,0,g0U
6,0,2,5,8,1,g0U
6,0,2,5,8,2,g0h1
6,0,2,5,8,3,g0U
6,0,2,5,9,0,g0U
6,0,2,5,9,1,g0U
6,0,2,5,9,2,g0h1
6,0,2,5,9,3,g0U
6,0,2,6,1,0,g0U
6,0,2,6,1,1,g0U
6,0,2,6,1,2,g0U
6,0,2,6,1,3,g0U
6,0,2,6,2,0,g0U
6,0,2,6,2,1,g0U
6,0,2,6,2,2,g0U
6,0,2,6,2,3,g0U
6,0,2,6,3,0,g0U
6,0,2,6,3,1,g0U
6,0,2,6,3,2,g0U
6,0,2,6,3,3,g0U
6,0,2,6,4,0,g0U
6,0,2,6,4,1,g0U
6,0,2,6,4,2,g0U
6,0,2,6,4,3,g0U
6,0,2,6,5,0,g0U
6,0,2,6,5,1,g0U
6,0,2,6,5,2,g0U
6,0,2,6,5,3,g0U
6,0,2,6,6,0,g0U
6,0,2,6,6,1,g0U
6,0,2,6,6,2,g0U
6,0,2,6,6,3,g0U
6,0,2,6,7,0,g0U
6,0,2,6,7,1,g0U
6,0,2,6,7,2,g0U
6,0,2,6,7,3,g0U
6,0,2,6,8,0,g0U
6,0,2,6,8,1,g0U
6,0,2,6,8,2,g0U
6,0,2,6,8,3,g0U
6,0,2,6,9,0,g0U
6,0,2,6,9,1,g0U
6,0,2,6,9,2,g0U
6,0,2,6,9,3,g0U
6,0,2,7,0,0,g0h1
6,0,2,7,0,1,g0h1
6,0,2,7,0,2,g0h1
6,0,2,7,0,3,g0h1
6,0,2,7,1,0,g0U
6,0,2,7,1,1,g0U
6,0,2,7,1,2,g0f0
6,0,2,7,1,3,g0h0
6,0,2,7,2,0,g0U
6,0,2,7,2,1,g0U
6,0,2,7,2,2,g0f1
6,0,2,7,2,3,g0L
6,0,2,7,3,0,g0U
6,0,2,7,3,1,g0U
6,0,2,7,3,2,g0f1
6,0,2,7,3,3,g0U
6,0,2,7,4,0,g0U
6,0,2,7,4,1,g0U
6,0,2,7,4,2,g0f1
6,0,2,7,4,3,g0U
6,0,2,7,5,0,g0U
6,0,2,7,5,1,g0U
6,0,2,7,5,2,g0f1
6,0,2,7,5,3,g0U
6,0,2,7,6,0,g0U
6,0,2,7,6,1,g0U
6,0,2,7,6,2,g0f1
6,0,2,7,6,3,g0U
6,0,2,7,7,0,g0U
6,0,2,7,7,1,g0U
6,0,2,7,7,2,g0f1
6,0,2,7,7,3,g0U
6,0,2,7,8,0,g0U
6,0,2,7,8,1,g0U
6,0,2,7,8,2,g0f1
6,0,2,7,8,3,g0U
6,0,2,7,9,0,g0U
6,0,2,7,9,1,g0U
6,0,2,7,9,2,g0f1
6,0,2,7,9,3,g0U
6,0,2,8,0,0,g0L
6,0,2,8,0,1,g0L
6,0,2,8,0,2,g0L
6,0,2,8,0,3,g0L
6,0,2,8,1,0,g0L
6,0,2,8,1,1,g0L
6,0,2,8,1,2,g0L
6,0,2,8,1,3,g0f0
6,0,2,8,2,0,g0L
6,0,2,8,2,1,g0L
6,0,2,8,2,2,g0L
6,0,2,8,2,3,g0L
6,0,2,8,3,0,g0L
6,0,2,8,3,1,g0L
6,0,2,8,3,2,g0U
6,0,2,8,3,3,g0U
6,0,2,8,4,0,g0U
6,0,2,8,4,1,g0U
6,0,2,8,4,2,g0U
6,0,2,8,4,3,g0U
6,0,2,8,5,0,g0L
6,0,2,8,5,1,g0L
6,0,2,8,5,2,g0U
6,0,2,8,5,3,g0L
6,0,2,8,6,0,g0U
6,0,2,8,6,1,g0U
6,0,2,8,6,2,g0U
6,0,2,8,6,3,g0U
6,0,2,8,7,0,g0U
6,0,2,8,7,1,g0U
6,0,2,8,7,2,g0U
6,0,2,8,7,3,g0U
6,0,2,8,8,0,g0L
6,0,2,8,8,1,g0L
6,0,2,8,8,2,g0U
6,0,2,8,8,3,g0L
6,0,2,8,9,0,g0U
6,0,2,8,9,1,g0U
6,0,2,8,9,2,g0U
6,0,2,8,9,3,g0U
6,0,2,9,0,0,g0L
6,0,2,9,0,1,g0L
6,0,2,9,0,2,g0L
6,0,2,9,0,3,g0L
6,0,2,9,1,0,g0L
6,0,2,9,1,1,g0L
6,0,2,9,1,2,g0L
6,0,2,9,1,3,g0f0
6,0,2,9,2,0,g0U
6,0,2,9,2,1,g0U
6,0,2,9,2,2,g0U
6,0,2,9,2,3,g0L
6,0,2,9,3,0,g0U
6,0,2,9,3,1,g0U
6,0,2,9,3,2,g0L
6,0,2,9,3,3,g0L
6,0,2,9,4,0,g0U
6,0,2,9,4,1,g0U
6,0,2,9,4,2,g0L
6,0,2,9,4,3,g0U
6,0,2,9,5,0,g0U
6,0,2,9,5,1,g0U
6,0,2,9,5,2,g0L
6,0,2,9,5,3,g0U
6,0,2,9,6,0,g0U
6,0,2,9,6,1,g0U
6,0,2,9,6,2,g0g1
6,0,2,9,6,3,g0U
6,0,2,9,7,0,g0U
6,0,2,9,7,1,g0h1
6,0,2,9,7,2,g0U
6,0,2,9,7,3,g0U
6,0,2,9,8,0,g0U
6,0,2,9,8,1,g0U
6,0,2,9,8,2,g0U
6,0,2,9,8,3,g0U
6,0,2,9,9,0,g0U
6,0,2,9,9,1,g0U
6,0,2,9,9,2,g0L
6,0,2,9,9,3,g0U
6,0,3,0,0,0,g0f0
6,0,3,0,0,1,g0f0
6,0,3,0,0,2,g0f0
6,0,3,0,0,3,g0f0
6,0,3,0,1,0,g0h1
6,0,3,0,1,1,g0h1
6,0,3,0,1,2,g0h1
6,0,3,0,1,3,g0h1
6,0,3,0,2,0,g0f1
6,0,3,0,2,1,g0f0
6,0,3,0,2,2,g0h1
6,0,3,0,2,3,g0f1
6,0,3,0,3,0,g0f0
6,0,3,0,3,1,g0f1
6,0,3,0,3,2,g0f1
6,0,3,0,3,3,g0f0
6,0,3,0,4,0,g0f1
6,0,3,0,4,1,g0f0
6,0,3,0,4,2,g0f1
6,0,3,0,4,3,g0f1
6,0,3,0,5,0,g0f1
6,0,3,0,5,1,g0f1
6,0,3,0,5,2,g0f1
6,0,3,0,5,3,g0f1
6,0,3,0,6,0,g0f1
6,0,3,0,6,1,g0f1
6,0,3,0,6,2,g0g1
6,0,3,0,6,3,g0f1
6,0,3,0,7,0,g0f1
6,0,3,0,7,1,g0f1
6,0,3,0,7,2,g0g1
6,0,3,0,7,3,g0f1
6,0,3,0,8,0,g0f1
6,0,3,0,8,1,g0f1
6,0,3,0,8,2,g0f1
6,0,3,0,8,3,g0f0
6,0,3,0,9,0,g0f1
6,0,3,0,9,1,g0f1
6,0,3,0,9,2,g0f1
6,0,3,0,9,3,g0f1
6,0,3,1,0,0,g0f0
6,0,3,1,0,1,g0f0
6,0,3,1,0,2,g0f0
6,0,3,1,0,3,g0f0
6,0,3,1,1,0,g0h1
6,0,3,1,1,1,g0h1
6,0,3,1,1,2,g0h1
6,0,3,1,1,3,g0h1
6,0,3,1,2,0,g0f1
6,0,3,1,2,1,g0f0
6,0,3,1,2,2,g0g1
6,0,3,1,2,3,g0f1
6,0,3,1,3,0,g0f1
6,0,3,1,3,1,g0g1
6,0,3,1,3,2,g0f0
6,0,3,1,3,3,g0f1
6,0,3,1,4,0,g0f1
6,0,3,1,4,1,g0f0
6,0,3,1,4,2,g0f1
6,0,3,1,4,3,g0f1
6,0,3,1,5,0,g0f1
6,0,3,1,5,1,g0f1
6,0,3,1,5,2,g0g1
6,0,3,1,5,3,g0f1
6,0,3,1,6,0,g0f1
6,0,3,1,6,1,g0f1
6,0,3,1,6,2,g0g1
6,0,3,1,6,3,g0f1
6,0,3,1,7,0,g0f1
6,0,3,1,7,1,g0f1
6,0,3,1,7,2,g0f1
6,0,3,1,7,3,g0R
6,0,3,1,8,0,g0f1
6,0,3,1,8,1,g0f1
6,0,3,1,8,2,g0f1
6,0,3,1,8,3,g0f1
6,0,3,1,9,0,g0f1
6,0,3,1,9,1,g0f1
6,0,3,1,9,2,g0f1
6,0,3,1,9,3,g0f1
6,0,3,2,0,0,g0f0
6,0,3,2,0,1,g0f0
6,0,3,2,0,2,g0f0
6,0,3,2,0,3,g0f0
6,0,3,2,1,0,g0h1
6,0,3,2,1,1,g0h1
6,0,3,2,1,2,g0h1
6,0,3,2,1,3,g0h1
6,0,3,2,2,0,g0f1
6,0,3,2,2,1,g0f0
6,0,3,2,2,2,g0h1
6,0,3,2,2,3,g0f1
6,0,3,2,3,0,g0h0
6,0,3,2,3,1,g0f1
6,0,3,2,3,2,g0g1
6,0,3,2,3,3,g0f0
6,0,3,2,4,0,g0g1
6,0,3,2,4,1,g0f0
6,0,3,2,4,2,g0f1
6,0,3,2,4,3,g0f1
6,0,3,2,5,0,g0f1
6,0,3,2,5,1,g0f1
6,0,3,2,5,2,g0g1
6,0,3,2,5,3,g0g1
6,0,3,2,6,0,g0f1
6,0,3,2,6,1,g0f1
6,0,3,2,6,2,g0h1
6,0,3,2,6,3,g0f1
6,0,3,2,7,0,g0f1
6,0,3,2,7,1,g0g1
6,0,3,2,7,2,g0f0
6,0,3,2,7,3,g0f1
6,0,3,2,8,0,g0f0
6,0,3,2,8,1,g0f0
6,0,3,2,8,2,g0f1
6,0,3,2,8,3,g0f0
6,0,3,2,9,0,g0f1
6,0,3,2,9,1,g0f1
6,0,3,2,9,2,g0f0
6,0,3,2,9,3,g0f1
6,0,3,3,0,0,g0f0
6,0,3,3,0,1,g0f0
6,0,3,3,0,2,g0f0
6,0,3,3,0,3,g0f0
6,0,3,3,1,0,g0h1
6,0,3,3,1,1,g0h1
6,0,3,3,1,2,g0h1
6,0,3,3,1,3,g0h1
6,0,3,3,2,0,g0f1
6,0,3,3,2,1,g0f0
6,0,3,3,2,2,g0h1
6,0,3,3,2,3,g0f1
6,0,3,3,3,0,g0f1
6,0,3,3,3,1,g0g1
6,0,3,3,3,2,g0h1
6,0,3,3,3,3,g0f1
6,0,3,3,4,0,g0f1
6,0,3,3,4,1,g0f0
6,0,3,3,4,2,g0g1
6,0,3,3,4,3,g0g1
6,0,3,3,5,0,g0R
6,0,3,3,5,1,g0f1
6,0,3,3,5,2,g0g1
6,0,3,3,5,3,g0R
6,0,3,3,6,0,g0f0
6,0,3,3,6,1,g0R
6,0,3,3,6,2,g0L
6,0,3,3,6,3,g0f0
6,0,3,3,7,0,g0R
6,0,3,3,7,1,g0R
6,0,3,3,7,2,g0L
6,0,3,3,7,3,g0R
6,0,3,3,8,0,g0f0
6,0,3,3,8,1,g0f0
6,0,3,3,8,2,g0g1
6,0,3,3,8,3,g0f0
6,0,3,3,9,0,g0R
6,0,3,3,9,1,g0R
6,0,3,3,9,2,g0L
6,0,3,3,9,3,g0f1
6,0,3,4,0,0,g0f0
6,0,3,4,0,1,g0f0
6,0,3,4,0,2,g0f0
6,0,3,4,0,3,g0f0
6,0,3,4,1,0,g0h1
6,0,3,4,1,1,g0h1
6,0,3,4,1,2,g0h1
6,0,3,4,1,3,g0h1
6,0,3,4,2,0,g0f1
6,0,3,4,2,1,g0f0
6,0,3,4,2,2,g0h1
6,0,3,4,2,3,g0f1
6,0,3,4,3,0,g0g1
6,0,3,4,3,1,g0f1
6,0,3,4,3,2,g0h1
6,0,3,4,3,3,g0g1
6,0,3,4,4,0,g0h1
6,0,3,4,4,1,g0f1
6,0,3,4,4,2,g0R
6,0,3,4,4,3,g0g1
6,0,3,4,5,0,g0L
6,0,3,4,5,1,g0h1
6,0,3,4,5,2,g0R
6,0,3,4,5,3,g0R
6,0,3,4,6,0,g0L
6,0,3,4,6,1,g0R
6,0,3,4,6,2,g0R
6,0,3,4,6,3,g0U
6,0,3,4,7,0,g0R
6,0,3,4,7,1,g0R
6,0,3,4,7,2,g0R
6,0,3,4,7,3,g0R
6,0,3,4,8,0,g0L
6,0,3,4,8,1,g0L
6,0,3,4,8,2,g0R
6,0,3,4,8,3,g0L
6,0,3,4,9,0,g0R
6,0,3,4,9,1,g0R
6,0,3,4,9,2,g0R
6,0,3,4,9,3,g0R
6,0,3,5,0,0,g0h0
6,0,3,5,0,1,g0h0
6,0,3,5,0,2,g0h0
6,0,3,5,0,3,g0h0
6,0,3,5,1,0,g0h1
6,0,3,5,1,1,g0h1
6,0,3,5,1,2,g0h1
6,0,3,5,1,3,g0h1
6,0,3,5,2,0,g0g1
6,0,3,5,2,1,g0h0
6,0,3,5,2,2,g0h1
6,0,3,5,2,3,g0g1
6,0,3,5,3,0,g0R
6,0,3,5,3,1,g0h1
6,0,3,5,3,2,g0h1
6,0,3,5,3,3,g0R
6,0,3,5,4,0,g0R
6,0,3,5,4,1,g0R
6,0,3,5,4,2,g0h1
6,0,3,5,4,3,g0R
6,0,3,5,5,0,g0R
6,0,3,5,5,1,g0R
6,0,3,5,5,2,g0h1
6,0,3,5,5,3,g0R
6,0,3,5,6,0,g0R
6,0,3,5,6,1,g0R
6,0,3,5,6,2,g0h1
6,0,3,5,6,3,g0R
6,0,3,5,7,0,g0R
6,0,3,5,7,1,g0R
6,0,3,5,7,2,g0h1
6,0,3,5,7,3,g0R
6,0,3,5,8,0,g0R
6,0,3,5,8,1,g0R
6,0,3,5,8,2,g0h1
6,0,3,5,8,3,g0R
6,0,3,5,9,0,g0R
6,0,3,5,9,1,g0R
6,0,3,5,9,2,g0h1
6,0,3,5,9,3,g0R
6,0,3,6,1,0,g0h1
6,0,3,6,1,1,g0h1
6,0,3,6,1,2,g0h1
6,0,3,6,1,3,g0h1
6,0,3,6,2,0,g0R
6,0,3,6,2,1,g0R
6,0,3,6,2,2,g0R
6,0,3,6,2,3,g0R
6,0,3,6,3,0,g0R
6,0,3,6,3,1,g0R
6,0,3,6,3,2,g0R
6,0,3,6,3,3,g0R
6,0,3,6,4,0,g0R
6,0,3,6,4,1,g0R
6,0,3,6,4,2,g0R
6,0,3,6,4,3,g0R
6,0,3,6,5,0,g0R
6,0,3,6,5,1,g0R
6,0,3,6,5,2,g0R
6,0,3,6,5,3,g0R
6,0,3,6,6,0,g0R
6,0,3,6,6,1,g0R
6,0,3,6,6,2,g0R
6,0,3,6,6,3,g0R
6,0,3,6,7,0,g0R
6,0,3,6,7,1,g0R
6,0,3,6,7,2,g0R
6,0,3,6,7,3,g0R
6,0,3,6,8,0,g0R
6,0,3,6,8,1,g0R
6,0,3,6,8,2,g0R
6,0,3,6,8,3,g0R
6,0,3,6,9,0,g0R
6,0,3,6,9,1,g0R
6,0,3,6,9,2,g0R
6,0,3,6,9,3,g0R
6,0,3,7,0,0,g0U
6,0,3,7,0,1,g0U
6,0,3,7,0,2,g0U
6,0,3,7,0,3,g0U
6,0,3,7,1,0,g0R
6,0,3,7,1,1,g0R
6,0,3,7,1,2,g0f0
6,0,3,7,1,3,g0h0
6,0,3,7,2,0,g0R
6,0,3,7,2,1,g0R
6,0,3,7,2,2,g0f1
6,0,3,7,2,3,g0U
6,0,3,7,3,0,g0R
6,0,3,7,3,1,g0R
6,0,3,7,3,2,g0f0
6,0,3,7,3,3,g0R
6,0,3,7,4,0,g0R
6,0,3,7,4,1,g0R
6,0,3,7,4,2,g0f1
6,0,3,7,4,3,g0R
6,0,3,7,5,0,g0R
6,0,3,7,5,1,g0R
6,0,3,7,5,2,g0f1
6,0,3,7,5,3,g0R
6,0,3,7,6,0,g0R
6,0,3,7,6,1,g0R
6,0,3,7,6,2,g0f1
6,0,3,7,6,3,g0R
6,0,3,7,7,0,g0R
6,0,3,7,7,1,g0R
6,0,3,7,7,2,g0f1
6,0,3,7,7,3,g0R
6,0,3,7,8,0,g0R
6,0,3,7,8,1,g0R
6,0,3,7,8,2,g0f1
6,0,3,7,8,3,g0R
6,0,3,7,9,0,g0R
6,0,3,7,9,1,g0R
6,0,3,7,9,2,g0f1
6,0,3,7,9,3,g0R
6,0,3,8,0,0,g0U
6,0,3,8,0,1,g0U
6,0,3,8,0,2,g0U
6,0,3,8,0,3,g0U
6,0,3,8,1,0,g0U
6,0,3,8,1,1,g0U
6,0,3,8,1,2,g0U
6,0,3,8,1,3,g0f0
6,0,3,8,2,0,g0U
6,0,3,8,2,1,g0U
6,0,3,8,2,2,g0U
6,0,3,8,2,3,g0U
6,0,3,8,3,0,g0R
6,0,3,8,3,1,g0R
6,0,3,8,3,2,g0R
6,0,3,8,3,3,g0L
6,0,3,8,4,0,g0R
6,0,3,8,4,1,g0R
6,0,3,8,4,2,g0f1
6,0,3,8,4,3,g0R
6,0,3,8,5,0,g0L
6,0,3,8,5,1,g0L
6,0,3,8,5,2,g0R
6,0,3,8,5,3,g0L
6,0,3,8,6,0,g0R
6,0,3,8,6,1,g0R
6,0,3,8,6,2,g0R
6,0,3,8,6,3,g0g1
6,0,3,8,7,0,g0R
6,0,3,8,7,1,g0R
6,0,3,8,7,2,g0R
6,0,3,8,7,3,g0R
6,0,3,8,8,0,g0R
6,0,3,8,8,1,g0R
6,0,3,8,8,2,g0R
6,0,3,8,8,3,g0L
6,0,3,8,9,0,g0R
6,0,3,8,9,1,g0R
6,0,3,8,9,2,g0R
6,0,3,8,9,3,g0R
6,0,3,9,0,0,g0U
6,0,3,9,0,1,g0U
6,0,3,9,0,2,g0U
6,0,3,9,0,3,g0U
6,0,3,9,1,0,g0U
6,0,3,9,1,1,g0U
6,0,3,9,1,2,g0U
6,0,3,9,1,3,g0f0
6,0,3,9,2,0,g0R
6,0,3,9,2,1,g0R
